Sriya		Sriya	"Goddess Laxmi, Best, Beautiful, Excellent, Prosperity"
"Goddess Laxmi, Best, Beautiful, Excellent, Prosperity"			
Rushika		Rushika	Born with blessings of Lord Shiva
Born with blessings of Lord Shiva			
Anayat		Anayat	"The one who is praised, favour and is excellent"
"The one who is praised, favour and is excellent"			
Riana		Riana	"Rich or from hadria, Dissolved, An Queen who is compared to a Goddess"
"Rich or from hadria, Dissolved, An Queen who is compared to a Goddess"			
Meher		Meher	"Benevolence, Indian word for benevolence"
"Benevolence, Indian word for benevolence"			
Ishani		Ishani	"Consort of Lord shiva., Close to God, Name of Goddess Durga, Goddess Parvati, Ruling, Owning (Wife of Lord Shiva)"
"Consort of Lord shiva., Close to God, Name of Goddess Durga, Goddess Parvati, Ruling, Owning (Wife of Lord Shiva)"			
